ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Ageminyears,Agecat,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,TPP,TPPcntr,TPPcntr2,HL_original,Log10HL_original,Log10HL_original_cntr,Log10HL_original_cntr2,HLAllOlyas,Log10HLAllOlyas,Log10HLAllOlyas_cntr,Log10HLAllOlyas_cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,PC3,PC3sq,BinomialFledged
137,026-59533,3(2008-09),30-Mar-09,5:41,5:44,3,0,F,I,1,1Y,0.505,0.024571,0.000604,50.5,2.5,6.25,190,14,196,19,1.4,1.96,4.7,-0.2479,0.061433,0.637931,-0.195226,0.025335,0.000642,0.637931,-0.195226,0.010146,0.000103,9.53,-0.5846,0.3417,2,0.25,0.0643,1.5,-0.44,0.1898,1.489018,2.217174,-0.053876,0.002903,0.0608,0.003697,1
138,026-59911,4(2009-10),2-Apr-10,5:42,6:21,39,0,F,I,1,1Y,0.5,0.019571,0.000383,50,2,4,172,-4,16,17.2,-0.4,0.16,5.2,0.2521,0.063576,0.369863,-0.431959,-0.211397,0.044689,0.369863,-0.431959,-0.226587,0.051342,8.86,-1.2466,1.5541,2,0.25,0.0643,1,-0.94,0.8756,0.9321,0.86881,0.202233,0.040898,-0.783434,0.613769,0
139,026-59926,4(2009-10),25-Mar-10,5:40,6:43,63,1,M,N,2,A1Y,0.46,-0.020429,0.000417,46,-2,4,161,-15,225,16.1,-1.5,2.25,4.4,-0.5479,0.300147,1.439024,0.158068,0.37863,0.143361,1.439024,0.158068,0.36344,0.132089,10.72,0.6143,0.3773,2,0.25,0.0643,2,0.06,0.0041,-0.747358,0.558544,0.331883,0.110147,-0.62557,0.391338,1
140,026-59955,4(2009-10),16-Mar-10,5:39,6:10,31,1,M,N,1,1Y,0.49,0.009571,0.000092,49,1,1,161,-15,225,16.1,-1.5,2.25,4.9,-0.0479,0.00229,1.702703,0.231139,0.4517,0.204033,1.702703,0.231139,0.436511,0.190542,8.73,-1.3825,1.9114,2,0.25,0.0643,0,-1.94,3.747,0.864742,0.747778,1.696679,2.878718,-1.414631,2.00118,1
141,026-59982,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,1,1Y,0.49,0.009571,0.000092,49,1,1,155,-21,441,15.5,-2.1,4.41,4.9,-0.0479,0.00229,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,9.12,-0.9899,0.9799,1,-0.75,0.5572,1,-0.94,0.8756,-0.198757,0.039504,1.722114,2.965676,-0.772124,0.596175,1
143,026-59984,4(2009-10),29-Dec-09,5:02,5:28,26,0,F,pre,1,1Y,0.44,-0.040429,0.001634,44,-4,16,159,-17,289,15.9,-1.7,2.89,5.4,0.4521,0.204433,1.222222,0.08715,0.307712,0.094687,1.222222,0.08715,0.292522,0.085569,8.54,-1.5746,2.4794,1,-0.75,0.5572,3.5,1.56,2.447,-1.424504,2.029213,2.612147,6.82331,0.670498,0.449568,1
145,026-59986,4(2009-10),25-Mar-10,5:40,7:45,125,0,F,N,1,1Y,0.5,0.019571,0.000383,50,2,4,184,8,64,18.4,0.8,0.64,4,-0.9479,0.898433,1.083333,0.034762,0.255324,0.06519,1.083333,0.034762,0.240134,0.057664,10,-0.1084,0.0118,1.5,-0.25,0.0607,1,-0.94,0.8756,1.269002,1.610366,0.814162,0.662859,-0.255633,0.065348,1
146,026-59987,4(2009-10),3-Feb-10,5:24,9:00,216,0,F,B,1,1Y,0.49,0.009571,0.000092,49,1,1,184,8,64,18.4,0.8,0.64,4.8,-0.1479,0.021862,0.724138,-0.140179,0.080383,0.006461,0.724138,-0.140179,0.065193,0.00425,8.48,-1.6257,2.643,2,0.25,0.0643,3.5,1.56,2.447,1.017614,1.035538,0.816201,0.666184,0.861687,0.742504,0
147,026-59995,4(2009-10),31-Mar-10,5:42,10:08,266,1,M,I,2,A1Y,0.54,0.059571,0.003549,54,6,36,194,18,324,19.4,1.8,3.24,5,0.0521,0.002719,0.388889,-0.410174,-0.189613,0.035953,0.388889,-0.410174,-0.204802,0.041944,10.04,-0.0682,0.0046,2,0.25,0.0643,3.5,1.56,2.447,1.300646,1.691679,-1.150794,1.324327,1.689352,2.853909,1
148,026-60005,3(2008-09),14-Apr-09,5:44,5:35,-9,1,M,L,2,A1Y,0.48,-0.000429,0,48,0,0,179,3,9,17.9,0.3,0.09,3.7,-1.2479,1.557147,0.154762,-0.810336,-0.589774,0.347834,0.219512,-0.658541,-0.453169,0.205362,9.51,-0.598,0.3576,2,0.25,0.0643,0,-1.94,3.747,1.612887,2.601403,-0.198773,0.039511,-2.121464,4.500608,0
