ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberFledged
321,026-49800,2(2007-08),18-Dec-07,5:57,6:16,19,1,M,pre,AHY,1,0.48,0.000723,0.000001,48,0.1,0.01,179,6.33,40.0857,17.9,0.6,0.36,10.85,0.7902,0.6244,3,0.89,0.8003,4,1.89,3.5553,0.91247,0.832602,2.260688,5.11071,5
325,026-49801,3(2008-09),15-May-09,5:53,6:45,52,1,M,post,A1Y,2,0.485,0.005723,0.000033,48.5,0.6,0.36,180,7.33,53.7483,18,0.7,0.49,10.82,0.7618,0.5803,2,-0.11,0.0111,0,-2.11,4.4709,-0.736029,0.541739,-0.384133,0.147558,3
327,026-49804,2(2007-08),25-Jan-08,6:19,7:00,41,0,F,pre,AHY,1,0.51,0.030723,0.000944,51,3.1,9.61,176,3.33,11.0977,17.6,0.3,0.09,9.9,-0.1594,0.0254,3,0.89,0.8003,4,1.89,3.5553,0.047671,0.002273,2.087844,4.359092,3
330,026-49807,2(2007-08),3-Feb-08,6:24,9:56,212,0,F,I,AHY,1,0.44,-0.039277,0.001543,44,-3.9,15.21,161,-11.67,136.158,16.1,-1.2,1.44,11.01,0.9514,0.9051,3,0.89,0.8003,3,0.89,0.7842,2.235772,4.998676,1.022945,1.046417,4
333,026-49809,2(2007-08),7-Mar-08,6:37,9:18,161,0,F,N,1Y,1,0.445,-0.034277,0.001175,44.5,-3.4,11.56,152,-20.67,427.1941,15.2,-2.1,4.41,9.72,-0.3362,0.113,2.5,0.39,0.1557,0,-2.11,4.4709,0.911279,0.83043,-1.526094,2.328964,1
334,026-49809,3(2008-09),9-Feb-09,6:27,11:54,327,0,F,I,A1Y,2,0.41,-0.069277,0.004799,41,-6.9,47.61,157,-15.67,245.5074,15.7,-1.6,2.56,10.52,0.4633,0.2147,1.5,-0.61,0.3665,2,-0.11,0.0131,1.975513,3.902651,-1.641558,2.694714,4
335,026-49809,4(2009-10),2-Feb-10,5:23,9:36,253,0,F,L,A1Y,3,0.38,-0.099277,0.009856,38,-9.9,98.01,140,-32.67,1067.2423,14,-3.3,10.89,11.87,1.8115,3.2815,1.5,-0.61,0.3665,3.5,1.39,1.9197,4.335336,18.795134,-1.117776,1.249423,5
336,026-49811,2(2007-08),27-Feb-08,6:34,11:17,283,0,F,N,1Y,1,0.525,0.045723,0.002091,52.5,4.6,21.16,187,14.33,205.3869,18.7,1.4,1.96,9.93,-0.1282,0.0164,3,0.89,0.8003,2,-0.11,0.0131,-1.288938,1.661362,1.702209,2.897514,4
340,026-49813,4(2009-10),17-Feb-10,5:31,9:28,237,1,M,N,A1Y,3,0.45,-0.029277,0.000857,45,-2.9,8.41,188,15.33,235.0495,18.8,1.5,2.25,10.39,0.3275,0.1073,2,-0.11,0.0111,3,0.89,0.7842,0.257514,0.066314,0.433551,0.187966,5
341,026-49815,3(2008-09),20-Feb-09,6:32,9:16,164,1,M,I,A1Y,2,0.47,-0.009277,0.000086,47,-0.9,0.81,183,10.33,106.7363,18.3,1,1,9.58,-0.4778,0.2283,2,-0.11,0.0111,2.5,0.39,0.1486,-0.412089,0.169817,-0.044456,0.001976,5
