ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
42,026-29363,3(2008-09),24-Feb-09,6:33,9:00,147,1,N,A1Y,5,0.520,0.040723,0.001658,52.0,4.10,16.81,185,12.33,152.0616,18.5,1.20,1.4400,9.98,-0.0759,0.0058,1.5,-0.61,0.3665,2.0,-0.11,0.0131,-1.571637,2.470042,0.060848,0.003703,0
46,026-29455,1(2006-07),07-Dec-06,5:53,17:30,697,1,pre,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,182,9.33,87.0736,18.2,0.90,0.8100,10.48,0.4206,0.1769,3.0,0.89,0.8003,2.5,0.39,0.1486,0.174583,0.030479,1.524927,2.325403,0
47,026-29455,2(2007-08),05-Mar-08,6:36,7:50,74,1,L,A1Y,3,0.490,0.010723,0.000115,49.0,1.10,1.21,180,7.33,53.7483,18.0,0.70,0.4900,8.71,-1.3452,1.8097,2.0,-0.11,0.0111,0.0,-2.11,4.4709,-1.783250,3.179982,-1.342383,1.801993,0
48,026-29455,3(2008-09),09-Mar-09,6:37,7:26,49,1,I,A1Y,4,0.530,0.050723,0.002573,53.0,5.10,26.01,208,35.33,1248.3025,20.8,3.50,12.2500,9.58,-0.4778,0.2283,1.5,-0.61,0.3665,1.5,-0.61,0.3776,-3.095376,9.581355,0.315843,0.099757,5
49,026-29456,1(2006-07),01-Dec-06,5:52,17:00,668,1,pre,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,166,-6.67,44.4712,16.6,-0.70,0.4900,10.39,0.3275,0.1073,2.5,0.39,0.1557,3.0,0.89,0.7842,0.816450,0.666590,0.793695,0.629952,0
52,026-29456,3(2008-09),12-Feb-09,6:29,9:31,182,1,I,A1Y,4,0.460,-0.019277,0.000372,46.0,-1.90,3.61,177,4.33,18.7604,17.7,0.40,0.1600,10.72,0.6600,0.4356,2.5,0.39,0.1557,3.5,1.39,1.9197,1.009660,1.019413,1.184118,1.402135,4
55,026-29470,2(2007-08),04-Jan-08,6:06,6:24,18,1,B,A1Y,3,0.490,0.010723,0.000115,49.0,1.10,1.21,160,-12.67,160.4953,16.0,-1.30,1.6900,8.85,-1.2137,1.4731,2.0,-0.11,0.0111,2.0,-0.11,0.0131,-0.262522,0.068918,-0.911233,0.830345,3
56,026-29475,1(2006-07),27-Jan-07,6:20,8:30,130,1,I,A1Y,3,0.460,-0.019277,0.000372,46.0,-1.90,3.61,177,4.33,18.7604,17.7,0.40,0.1600,9.51,-0.5491,0.3015,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-0.432295,0.186879,-0.966012,0.933180,0
57,026-29475,3(2008-09),18-Dec-08,5:57,7:12,75,1,pre,A1Y,5,0.430,-0.049277,0.002428,43.0,-4.90,24.01,147,-25.67,658.8809,14.7,-2.60,6.7600,9.68,-0.3779,0.1428,2.0,-0.11,0.0111,2.0,-0.11,0.0131,1.817768,3.304282,-1.524880,2.325260,2
58,026-29476,3(2008-09),16-Dec-08,5:56,10:27,271,1,pre,A1Y,4,0.450,-0.029277,0.000857,45.0,-2.90,8.41,180,7.33,53.7483,18.0,0.70,0.4900,10.33,0.2743,0.0752,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-0.002359,0.000006,-0.616677,0.380291,0
61,026-29480,1(2006-07),29-Nov-06,4:51,16:45,714,0,pre,A1Y,3,0.420,-0.059277,0.003514,42.0,-5.90,34.81,154,-18.67,348.5194,15.4,-1.90,3.6100,10.84,0.7849,0.6161,2.0,-0.11,0.0111,3.0,0.89,0.7842,2.519087,6.345800,-0.499359,0.249360,0
64,026-29488,1(2006-07),29-Nov-06,4:51,16:45,714,1,pre,A1Y,3,0.495,0.015723,0.000247,49.5,1.60,2.56,166,-6.67,44.4712,16.6,-0.70,0.4900,11.98,1.9178,3.6779,2.5,0.39,0.1557,3.0,0.89,0.7842,1.252227,1.568072,1.739838,3.027037,0
65,026-29491,1(2006-07),18-Jan-07,6:15,8:55,160,0,B,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,166,-6.67,44.4712,16.6,-0.70,0.4900,10.95,0.8888,0.7900,3.0,0.89,0.8003,2.5,0.39,0.1486,1.086556,1.180605,1.375685,1.892508,0
69,026-33190,3(2008-09),11-Dec-08,5:54,8:32,158,1,pre,A1Y,4,0.460,-0.019277,0.000372,46.0,-1.90,3.61,179,6.33,40.0857,17.9,0.60,0.3600,10.04,-0.0184,0.0003,1.0,-1.11,1.2220,2.0,-0.11,0.0131,-0.312428,0.097611,-1.284582,1.650150,0
70,026-33190,4(2009-10),25-Dec-09,5:00,6:40,100,1,pre,A1Y,5,0.450,-0.029277,0.000857,45.0,-2.90,8.41,185,12.33,152.0616,18.5,1.20,1.4400,10.48,0.4206,0.1769,1.5,-0.61,0.3665,4.0,1.89,3.5553,0.561108,0.314842,0.306446,0.093909,3
