PCV_percent_cntr,Hbdiv10cntr,SMIcntr,Musclecntr,Fatcntr
6.10,2.90,-0.1962,-0.61,0.39
6.10,3.30,0.2666,-0.11,-2.11
2.10,2.30,-0.1962,-0.11,1.89
-5.90,-0.40,-0.2902,0.39,0.89
4.10,1.50,0.6600,-0.11,0.89
0.10,1.00,-0.4360,-0.61,0.89
-0.90,-0.50,0.0308,-0.11,-0.11
1.10,-1.30,-0.1962,-0.11,-0.11
0.10,1.30,-0.1378,-0.11,0.89
0.10,-1.00,-0.2488,-1.11,1.89
-1.90,0.40,1.1241,-0.11,-0.11
0.10,1.30,-0.0087,-0.61,-0.11
-1.90,-0.40,1.4968,0.89,0.39
1.10,0.10,-0.6617,-0.61,-1.11
-0.90,0.90,-0.5628,-1.11,-0.11
-1.90,-1.40,1.1553,-0.11,-0.11
0.10,1.50,-0.3935,-0.61,-1.11
0.10,0.60,0.2666,-0.11,-1.11
4.10,0.60,-0.3489,-0.61,-1.11
-2.90,-0.40,-0.3909,-1.11,1.39
0.10,-1.10,-0.4779,-0.11,-2.11
-1.90,-2.00,-0.0976,0.89,1.39
0.10,0.50,-1.7255,-0.11,-2.11
0.10,0.00,-1.1697,-0.11,-0.11
-2.40,-1.80,0.0650,-0.11,-0.11
0.10,-0.50,1.2601,-0.11,0.89
-3.90,-0.90,1.2601,-0.11,1.39
2.10,1.30,-0.1395,-0.11,0.39
0.10,1.80,-0.1188,-0.61,-0.11
0.10,-0.70,0.2743,-0.61,0.39
2.10,0.40,0.0793,-0.11,-0.11
7.10,1.10,-0.2306,-0.61,0.89
2.10,2.20,-0.4760,-0.61,1.39
0.10,1.00,-0.5491,-0.61,0.89
1.10,0.10,0.8198,-0.61,-2.11
-2.90,-1.30,0.1748,0.89,-0.11
3.10,0.30,-0.7053,-1.11,-2.11
4.10,2.70,-0.0284,-0.11,-0.61
3.10,0.90,0.0734,0.89,-0.11
-5.40,-2.30,1.5077,-0.11,-1.11
1.60,2.00,-0.9399,-1.11,-0.11
3.10,1.50,0.3142,-0.61,-0.11
-11.40,-0.10,1.5580,-0.61,0.39
2.10,1.70,-0.1444,-0.11,-2.11
-1.90,-0.60,-0.7981,0.39,-0.11
-4.90,-1.90,-0.0486,0.39,1.39
-0.90,-1.30,2.1271,0.89,1.89
2.10,0.30,0.0011,0.89,1.89
-1.90,-1.80,-0.2306,-0.11,0.89
-1.90,-1.20,0.3718,0.89,0.39
-1.90,-1.80,-0.2418,-0.11,-1.61
1.60,-1.20,-0.9010,-0.61,-2.11
-1.90,0.50,-0.2824,-0.11,-1.11
4.10,2.50,0.9858,0.39,1.39
-3.90,-2.60,1.4187,0.39,1.39
-1.90,-2.10,0.3519,0.89,1.39
-3.90,-2.50,0.4206,0.39,1.39
-5.90,-3.10,0.6456,0.39,-0.11
1.10,-0.20,-0.9858,-0.11,-1.61
-2.40,-1.40,0.7233,0.39,-2.11
1.60,0.50,0.4999,-0.11,-2.11
-7.90,-2.20,0.4788,-1.11,0.39
-5.90,-2.60,-0.0584,-0.11,-1.11
1.10,0.20,0.7120,0.89,0.39
