PCV_percent_cntr,Hbdiv10cntr,TPPcntr,Log10HLAllOlyas_cntr,SMIcntr,Musclecntr,Fatcntr
2,0.6,-1.1479,-0.289478,0.3521,0.25,-1.94
2,1.8,-0.7479,0.082966,-0.0489,0.75,-0.94
-6.5,-1.8,0.2521,-0.424359,0.4656,-0.25,1.56
-5.5,-1,2.7521,0.118222,2.4308,0.25,0.06
11,3.5,-0.1479,-0.514787,0.032,0.25,0.06
-4,-1.4,-0.7479,-0.319391,-0.0784,-0.25,-1.94
1,-1.3,1.5521,0.1699,0.9695,0.25,0.56
5,3,-0.0479,0.065193,0.1561,0.25,-0.94
-2,-0.1,0.9521,0.381463,-0.1181,0.25,2.06
1,1,-0.3479,-0.214523,-1.0353,-0.75,0.06
2.5,1.4,-0.2479,0.010146,-0.5846,0.25,-0.44
2,-0.4,0.2521,-0.226587,-1.2466,0.25,-0.94
-2,-1.5,-0.5479,0.36344,0.6143,0.25,0.06
1,-1.5,-0.0479,0.436511,-1.3825,0.25,-1.94
1,-2.1,-0.0479,-0.044505,-0.9899,-0.75,-0.94
-4,-1.7,0.4521,0.292522,-1.5746,-0.75,1.56
2,0.8,-0.9479,0.240134,-0.1084,-0.25,-0.94
1,0.8,-0.1479,0.065193,-1.6257,0.25,1.56
6,1.8,0.0521,-0.204802,-0.0682,0.25,1.56
0,0.3,-1.2479,-0.453169,-0.598,0.25,-1.94
-2,-0.3,-0.4479,-0.063473,-0.7394,0.25,-0.94
0,-1.1,-0.9479,0.292522,-0.6276,0.25,1.06
-1,-0.3,-0.4479,0.065193,-0.6276,0.25,1.06
-1.5,0.8,1.2521,-0.007236,0.0711,0.25,2.06
1,-0.1,0.1521,-0.424359,-0.039,-0.25,1.06
2,-0.9,1.4521,-0.418964,0.3019,-0.25,-1.94
-2,0.1,0.7521,0.135736,-0.9899,-0.25,0.06
0,-0.7,0.1521,-0.204802,0.1565,0.25,0.06
3,1,-0.3479,0.187998,-0.1878,0.25,-0.94
8,2.6,-0.3479,0.275008,0.5627,0.25,0.06
-8,-2.5,1.8521,-0.582998,1.2689,-0.25,0.56
6,2.2,-0.4479,-0.131571,-0.039,-0.75,0.06
9,3.5,0.4521,-0.13042,-0.6135,0.25,-0.94
-1,0.7,-0.8479,0.65869,-0.9996,-0.25,-1.94
0,-0.4,-0.2479,-0.044505,-0.499,0.25,-1.94
0,-2.1,-0.3479,0.222746,-0.4854,-0.25,1.06
2,2.1,0.2521,0.730135,-0.7146,0.25,1.06
0,-0.5,1.2521,0.100637,0.6314,0.25,2.06
4,-0.4,-0.2479,0.135736,-0.9055,-0.75,1.06
4,-0.8,-0.3479,0.135736,0.0293,0.25,0.56
-2,-0.2,-0.3479,0.141255,-1.0452,0.25,-1.94
-4,-1.8,-0.1479,-0.044505,1.5792,0.25,0.06
0,-1.4,0.3521,-0.29523,0.9692,-0.25,1.56
