PCV_percent_cntr,Hbdiv10cntr,SMIcntr,Muscntr,Fatcntr
-8.28,-2.00,0.9913,-0.71,0.72
0.72,0.20,0.7861,0.79,0.22
-0.28,-0.40,-0.3459,0.79,-1.28
-6.28,-3.00,1.3983,0.29,0.72
3.22,1.40,0.4574,0.79,0.72
2.22,0.00,0.2038,0.79,0.72
3.72,0.20,-0.2160,0.29,0.22
1.72,0.10,0.0557,-0.21,0.22
0.72,-0.50,0.0954,0.29,-0.28
-0.28,0.00,-0.0044,0.29,0.22
3.72,1.90,-0.5182,0.79,0.72
-0.28,-0.50,-0.5317,0.79,0.72
-2.28,-2.90,0.9926,0.79,1.22
1.72,1.10,0.3711,0.79,0.72
1.72,-0.50,-0.2040,0.79,0.72
-0.28,-0.20,-1.4942,0.79,0.72
1.72,1.20,-0.7362,-0.21,0.72
-3.28,-1.10,-0.2999,-0.21,-0.28
-0.28,0.80,0.6309,0.79,0.72
-2.28,0.20,0.2509,0.79,0.72
0.72,0.70,0.8887,0.29,-1.78
3.72,0.20,0.4017,0.79,0.72
-0.28,-0.60,-0.9190,-0.71,-1.28
-5.28,-2.10,-0.5598,-0.21,-1.28
4.22,0.10,-0.0746,0.79,-0.28
3.72,0.40,0.8325,-0.21,-1.28
4.72,0.50,0.1049,-0.21,1.72
-2.28,-0.30,1.1940,0.79,1.72
-2.28,-0.80,-0.9298,-0.21,-0.28
-4.28,-1.80,2.1005,0.79,0.72
1.72,-0.10,-0.1747,-0.21,-1.28
2.72,0.60,0.0557,0.79,1.72
4.72,1.30,2.9514,0.29,0.72
4.72,2.80,-0.3749,-0.71,-0.28
-3.28,0.50,0.1705,-0.71,1.72
-2.28,-0.30,-0.3340,-0.21,2.22
1.72,-0.30,-0.7240,-0.21,-0.28
1.72,0.50,-1.8543,0.29,0.22
-0.28,0.60,0.8643,0.79,1.72
-3.28,-1.80,0.8643,-0.21,-0.28
1.22,0.30,-0.5329,0.79,0.72
4.72,0.40,-0.2207,-0.21,0.72
-0.78,-0.90,0.0908,0.79,0.72
1.72,0.40,-0.9211,0.29,-0.78
-3.78,-2.10,-0.2621,0.29,-2.28
4.22,1.40,-0.0541,0.79,-0.28
-0.28,-0.50,0.0164,0.29,-2.28
-2.28,-1.60,-0.7411,-0.21,-1.28
-1.28,1.00,-0.4036,-0.21,0.22
3.72,0.20,-0.9211,0.79,-1.78
3.72,-0.30,-0.3619,0.29,0.22
-3.28,-2.50,1.3664,0.79,0.72
-0.28,0.50,-0.6866,0.79,-0.28
1.22,0.30,-0.0044,0.79,-0.28
1.72,0.00,-0.1565,0.79,0.72
0.72,1.10,-0.0235,0.79,-1.78
1.72,1.70,0.5852,-0.21,-1.78
1.22,0.80,0.4017,0.79,1.72
-4.28,-2.80,0.5208,-0.71,0.72
3.72,0.80,-0.0247,0.79,-0.28
-4.28,-1.10,0.0457,-0.71,-2.28
4.22,1.60,1.1270,0.79,-0.78
-0.28,-2.40,-0.1451,-0.71,-0.28
-4.28,-1.40,-0.8378,0.79,0.72
0.72,-1.00,1.0936,-0.21,0.22
-2.28,0.20,0.0060,-0.21,1.72
0.72,1.30,-0.9112,-1.21,-0.28
-7.28,-0.50,-1.1966,-0.71,-2.28
3.72,1.70,-0.0960,-0.21,-0.28
-2.28,-1.20,0.7384,-0.21,-0.28
0.72,-1.20,-1.2584,-0.21,-2.28
0.72,-1.80,-0.8658,-1.21,-1.28
-4.28,-1.40,-1.4505,-1.21,1.22
1.72,0.40,-0.0044,-1.21,0.72
0.72,1.10,-1.5016,-0.21,1.22
5.72,2.10,0.0559,-0.21,1.22
-3.28,-1.70,-1.0757,-0.21,-1.28
-0.78,-1.00,0.3027,-0.21,-1.28
-2.28,0.00,-0.6153,-0.21,-1.28
-1.28,0.00,-0.5035,-0.21,0.72
-0.28,0.80,0.0059,0.29,-1.28
5.72,1.40,-1.1356,0.29,-0.78
-1.28,-0.80,0.2014,0.79,-2.28
2.72,-0.50,-0.2160,-0.21,-1.28
-0.28,1.40,-1.2115,-0.21,-0.28
5.72,2.50,0.0851,-1.21,-0.28
8.72,3.80,-0.4894,-0.21,-1.28
-1.28,1.00,-0.8755,-0.71,-2.28
1.22,3.10,-0.6752,-1.21,-1.28
-0.28,-1.80,-0.3613,-0.71,0.72
1.72,2.40,-0.5905,-0.21,0.72
-0.28,-0.20,0.7556,-0.21,1.72
3.72,-0.10,-0.7813,-1.21,0.72
3.72,-0.50,0.1534,-0.21,0.22
-2.28,0.10,-0.9211,-0.21,-2.28
-2.28,0.00,-0.5768,-0.71,1.22
-3.28,1.20,-1.0136,-0.21,-0.28
-0.28,-1.10,1.0933,-0.71,1.22
