ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,BinomialFledged
360,026-49853,4(2009-10),16-Mar-10,5:39,10:55,316,1,M,N,A1Y,2,0.5,0.020723,0.000429,50,2.1,4.41,194,21.33,455.0254,19.4,2.1,4.41,10.06,0.0011,0,2.5,0.39,0.1557,1,-1.11,1.242,-1.520336,2.311421,0.69354,0.480998,0
361,026-49854,3(2008-09),16-Jan-09,6:14,6:38,24,0,F,B,1Y,1,0.495,0.015723,0.000247,49.5,1.6,2.56,181,8.33,69.411,18.1,0.8,0.64,10.87,0.8146,0.6635,2,-0.11,0.0111,2,-0.11,0.0131,-0.358873,0.12879,0.620399,0.384895,0
364,026-49854,4(2009-10),11-Feb-10,5:28,9:46,258,0,F,L,A1Y,2,0.425,-0.054277,0.002946,42.5,-5.4,29.16,166,-6.67,44.4712,16.6,-0.7,0.49,12.54,2.4808,6.1543,2,-0.11,0.0111,2,-0.11,0.0131,2.373349,5.632785,0.242165,0.058644,0
365,026-49855,3(2008-09),14-Jan-09,6:12,7:28,76,0,F,B,1Y,1,0.52,0.040723,0.001658,52,4.1,16.81,181,8.33,69.411,18.1,0.8,0.64,9.96,-0.0988,0.0098,3,0.89,0.8003,2,-0.11,0.0131,-0.918599,0.843824,1.516285,2.299119,0
367,026-49856,3(2008-09),15-May-09,5:53,6:45,52,1,M,post,1Y,1,0.44,-0.039277,0.001543,44,-3.9,15.21,162,-10.67,113.8206,16.2,-1.1,1.21,10.03,-0.0284,0.0008,1.5,-0.61,0.3665,0,-2.11,4.4709,0.381701,0.145695,-2.242418,5.02844,0
368,026-49868,2(2007-08),28-Feb-08,6:34,9:06,152,1,M,N,1Y,1,0.525,0.045723,0.002091,52.5,4.6,21.16,189,16.33,266.7122,18.9,1.6,2.56,11.11,1.0529,1.1085,3,0.89,0.8003,1.5,-0.61,0.3776,-0.988871,0.977865,2.110349,4.453573,1
369,026-49874,3(2008-09),18-Dec-08,5:57,8:24,147,0,F,pre,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,149,-23.67,560.2062,14.9,-2.4,5.76,9.84,-0.2192,0.0481,1.5,-0.61,0.3665,2,-0.11,0.0131,0.694733,0.482654,-1.327821,1.763109,0
370,026-49878,3(2008-09),13-Dec-08,5:55,6:35,40,0,F,pre,1Y,1,0.44,-0.039277,0.001543,44,-3.9,15.21,159,-13.67,186.8327,15.9,-1.4,1.96,9.15,-0.912,0.8317,3,0.89,0.8003,3,0.89,0.7842,1.480686,2.192431,0.076064,0.005786,0
371,026-49880,3(2008-09),13-Mar-09,6:38,9:58,200,0,F,L,1Y,1,0.49,0.010723,0.000115,49,1.1,1.21,163,-9.67,93.4833,16.3,-1,1,11.08,1.0195,1.0393,2,-0.11,0.0111,2.5,0.39,0.1486,0.762506,0.581415,0.446922,0.199739,1
373,026-49880,4(2009-10),15-Feb-10,5:30,6:34,64,0,F,I,A1Y,2,0.45,-0.029277,0.000857,45,-2.9,8.41,180,7.33,53.7483,18,0.7,0.49,9.01,-1.0497,1.1019,2,-0.11,0.0111,2,-0.11,0.0131,-0.308091,0.09492,-0.8377,0.701741,1
