ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,BinomialFledged
1,026-25476,1(2006-07),6-Dec-06,5:53,17:20,687,1,M,pre,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,185,12.33,152.0616,18.5,1.2,1.44,11.02,0.9567,0.9154,2.5,0.39,0.1557,1.5,-0.61,0.3776,-0.358941,0.128839,1.03441,1.070004,0
2,026-25477,1(2006-07),7-Dec-06,5:53,17:30,697,0,F,pre,A1Y,3,0.47,-0.009277,0.000086,47,-0.9,0.81,181,8.33,69.411,18.1,0.8,0.64,9.96,-0.0988,0.0098,2,-0.11,0.0111,1.5,-0.61,0.3776,-0.446148,0.199048,-0.326757,0.10677,0
3,026-25477,3(2008-09),26-Mar-09,6:41,9:22,161,0,F,I,A1Y,5,0.48,0.000723,0.000001,48,0.1,0.01,177,4.33,18.7604,17.7,0.4,0.16,11.25,1.1881,1.4116,2,-0.11,0.0111,3.5,1.39,1.9197,0.707891,0.50111,1.156501,1.337495,0
5,026-25490,2(2007-08),6-Feb-08,6:25,7:12,47,0,F,pre,A1Y,4,0.44,-0.039277,0.001543,44,-3.9,15.21,153,-19.67,386.8568,15.3,-2,4,8.21,-1.8528,3.4328,1.5,-0.61,0.3665,4,1.89,3.5553,1.122502,1.26001,-1.660987,2.758877,0
6,026-25490,4(2009-10),31-Dec-09,5:04,6:14,70,0,F,pre,A1Y,6,0.41,-0.069277,0.004799,41,-6.9,47.61,142,-30.67,940.5676,14.2,-3.1,9.61,9.24,-0.8217,0.6752,1.5,-0.61,0.3665,2,-0.11,0.0131,2.050934,4.206332,-2.614078,6.833401,0
7,026-25491,3(2008-09),13-May-09,5:52,7:16,84,1,M,post,A1Y,5,0.47,-0.009277,0.000086,47,-0.9,0.81,180,7.33,53.7483,18,0.7,0.49,10.69,0.6287,0.3953,0,-2.11,4.4328,2,-0.11,0.0131,-0.57803,0.334119,-1.870098,3.497268,0
8,026-25512,1(2006-07),6-Dec-06,5:53,17:38,705,1,M,pre,A1Y,3,0.5,0.020723,0.000429,50,2.1,4.41,178,5.33,28.423,17.8,0.5,0.25,9.89,-0.1671,0.0279,1.5,-0.61,0.3665,1.5,-0.61,0.3776,-1.075205,1.156065,-0.594076,0.352926,0
9,026-25512,3(2008-09),27-Apr-09,5:47,6:30,43,1,M,N,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,190,17.33,300.3748,19,1.7,2.89,10.72,0.6643,0.4412,2,-0.11,0.0111,1,-1.11,1.242,-1.208153,1.459634,0.399889,0.159911,1
10,026-25512,4(2009-10),29-Apr-10,5:48,10:43,295,1,M,post,A1Y,6,0.49,0.010723,0.000115,49,1.1,1.21,188,15.33,235.0495,18.8,1.5,2.25,11.05,0.9887,0.9776,2,-0.11,0.0111,1,-1.11,1.242,-0.785031,0.616274,0.390921,0.152819,1
12,026-25513,2(2007-08),5-Apr-08,5:43,7:21,98,0,F,I,A1Y,4,0.46,-0.019277,0.000372,46,-1.9,3.61,164,-8.67,75.1459,16.4,-0.9,0.81,10.81,0.7498,0.5622,3,0.89,0.8003,3.5,1.39,1.9197,1.782002,3.17553,1.442615,2.081137,1
14,026-25513,3(2008-09),31-Dec-08,6:04,7:08,64,0,F,pre,A1Y,5,0.44,-0.039277,0.001543,44,-3.9,15.21,165,-7.67,58.8086,16.5,-0.8,0.64,9.67,-0.3909,0.1528,2,-0.11,0.0111,4,1.89,3.5553,1.421148,2.019661,-0.153299,0.023501,1
15,026-25515,2(2007-08),7-May-08,5:50,9:11,201,0,F,N,A1Y,4,0.48,0.000723,0.000001,48,0.1,0.01,167,-5.67,32.1339,16.7,-0.6,0.36,9.75,-0.3139,0.0986,2,-0.11,0.0111,2,-0.11,0.0131,0.026898,0.000724,-0.431157,0.185896,1
16,026-25517,3(2008-09),19-Feb-09,6:31,10:42,251,1,M,I,A1Y,5,0.52,0.040723,0.001658,52,4.1,16.81,191,18.33,336.0375,19.1,1.8,3.24,9.75,-0.3107,0.0965,1.5,-0.61,0.3665,2.5,0.39,0.1486,-1.793922,3.218156,0.297423,0.08846,1
18,026-25520,2(2007-08),30-Apr-08,5:48,9:22,214,1,M,N,A1Y,4,0.5,0.020723,0.000429,50,2.1,4.41,168,-4.67,21.7965,16.8,-0.5,0.25,10.1,0.0403,0.0016,2,-0.11,0.0111,3.5,1.39,1.9197,0.204962,0.042009,0.62845,0.394949,1
19,026-25520,3(2008-09),20-Jan-09,6:16,8:42,146,1,M,I,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,182,9.33,87.0736,18.2,0.9,0.81,9.2,-0.8596,0.7389,2.5,0.39,0.1557,2.5,0.39,0.1486,-0.944888,0.892814,0.623962,0.389329,1
22,026-25522,2(2007-08),5-Mar-08,6:36,9:54,198,1,M,I,A1Y,4,0.52,0.040723,0.001658,52,4.1,16.81,185,12.33,152.0616,18.5,1.2,1.44,9.45,-0.6058,0.367,2,-0.11,0.0111,3,0.89,0.7842,-1.355506,1.837395,0.743462,0.552736,0
23,026-25817,1(2006-07),20-Nov-06,4:52,6:00,68,1,M,pre,A1Y,3,0.495,0.015723,0.000247,49.5,1.6,2.56,169,-3.67,13.4592,16.9,-0.4,0.16,8.96,-1.1034,1.2175,3,0.89,0.8003,1,-1.11,1.242,-0.668408,0.446769,0.034344,0.001179,0
24,026-25817,2(2007-08),15-Jan-08,6:13,6:53,40,1,M,B,A1Y,4,0.495,0.015723,0.000247,49.5,1.6,2.56,170,-2.67,7.1218,17,-0.3,0.09,9.16,-0.9044,0.8179,2.5,0.39,0.1557,3,0.89,0.7842,-0.199019,0.039608,0.470652,0.221513,0
25,026-29124,2(2007-08),31-Jan-08,6:22,10:45,263,0,F,L,A1Y,4,0.48,0.000723,0.000001,48,0.1,0.01,161,-11.67,136.158,16.1,-1.2,1.44,11.55,1.4879,2.2137,3,0.89,0.8003,3.5,1.39,1.9197,1.869268,3.494164,1.966153,3.865756,0
26,026-29130,1(2006-07),29-Nov-06,4:51,16:45,714,1,M,pre,A1Y,3,0.44,-0.039277,0.001543,44,-3.9,15.21,167,-5.67,32.1339,16.7,-0.6,0.36,9.48,-0.5776,0.3336,2.5,0.39,0.1557,2.5,0.39,0.1486,0.972509,0.945774,-0.304073,0.09246,1
27,026-29132,2(2007-08),5-Apr-08,5:43,8:48,185,0,F,I,A1Y,4,0.49,0.010723,0.000115,49,1.1,1.21,167,-5.67,32.1339,16.7,-0.6,0.36,10.58,0.5156,0.2658,3,0.89,0.8003,3.5,1.39,1.9197,0.978106,0.956691,1.756048,3.083704,1
28,026-29135,1(2006-07),27-Jan-07,6:20,8:30,130,0,F,I,A1Y,3,0.48,0.000723,0.000001,48,0.1,0.01,160,-12.67,160.4953,16,-1.3,1.69,10.58,0.5156,0.2658,2,-0.11,0.0111,2,-0.11,0.0131,0.708355,0.501767,-0.194759,0.037931,1
29,026-29136,1(2006-07),4-Dec-06,5:52,17:10,678,0,F,pre,A1Y,3,0.48,0.000723,0.000001,48,0.1,0.01,184,11.33,128.3989,18.4,1.1,1.21,10.7,0.6426,0.413,2.5,0.39,0.1557,2,-0.11,0.0131,-0.121825,0.014841,0.949742,0.902009,1
30,026-29138,1(2006-07),27-Feb-07,6:34,6:32,-2,0,F,L,A1Y,3,0.4,-0.079277,0.006285,40,-7.9,62.41,142,-30.67,940.5676,14.2,-3.1,9.61,12.14,2.0834,4.3405,1.5,-0.61,0.3665,3,0.89,0.7842,3.846473,14.795354,-0.911307,0.830481,0
31,026-29138,3(2008-09),9-Apr-09,5:43,5:35,-8,0,F,N,A1Y,5,0.53,0.050723,0.002573,53,5.1,26.01,190,17.33,300.3748,19,1.7,2.89,9.77,-0.2949,0.087,1,-1.11,1.222,2.5,0.39,0.1486,-2.094685,4.387707,-0.119799,0.014352,1
34,026-29138,4(2009-10),17-Feb-10,5:31,9:28,237,0,F,N,A1Y,6,0.55,0.070723,0.005002,55,7.1,50.41,207,34.33,1178.6399,20.7,3.4,11.56,9.64,-0.4165,0.1735,1.5,-0.61,0.3665,2.5,0.39,0.1486,-3.108715,9.664106,0.977855,0.956201,1
35,026-29342,3(2008-09),25-Mar-09,6:40,8:31,111,1,M,I,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,202,29.33,860.3266,20.2,2.9,8.41,11.25,1.1855,1.4054,2,-0.11,0.0111,2.5,0.39,0.1486,-1.058204,1.119795,1.560774,2.436016,0
36,026-29342,4(2009-10),4-Mar-10,5:36,9:55,259,1,M,N,A1Y,6,0.5,0.020723,0.000429,50,2.1,4.41,193,20.33,413.3628,19.3,2,4,9.85,-0.2078,0.0432,2,-0.11,0.0111,2,-0.11,0.0131,-1.440837,2.076012,0.4675,0.218556,1
37,026-29349,1(2006-07),17-Feb-07,6:30,8:30,120,0,F,L,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,175,2.33,5.4351,17.5,0.2,0.04,10.23,0.1673,0.028,3,0.89,0.8003,2,-0.11,0.0131,0.03102,0.000962,1.147877,1.317621,1
38,026-29349,3(2008-09),15-Apr-09,5:45,6:25,40,0,F,N,A1Y,5,0.48,0.000723,0.000001,48,0.1,0.01,187,14.33,205.3869,18.7,1.4,1.96,9.79,-0.2721,0.074,2,-0.11,0.0111,1,-1.11,1.242,-1.122493,1.259991,-0.360184,0.129733,1
40,026-29354,2(2007-08),6-May-08,5:50,9:10,200,0,F,N,A1Y,4,0.52,0.040723,0.001658,52,4.1,16.81,182,9.33,87.0736,18.2,0.9,0.81,11.21,1.1517,1.3265,2,-0.11,0.0111,2,-0.11,0.0131,-0.722449,0.521933,1.103469,1.217644,1
42,026-29363,3(2008-09),24-Feb-09,6:33,9:00,147,1,M,N,A1Y,5,0.52,0.040723,0.001658,52,4.1,16.81,185,12.33,152.0616,18.5,1.2,1.44,9.98,-0.0759,0.0058,1.5,-0.61,0.3665,2,-0.11,0.0131,-1.571637,2.470042,0.060848,0.003703,1
44,026-29424,2(2007-08),12-May-08,5:52,7:28,96,1,M,post,A1Y,4,0.49,0.010723,0.000115,49,1.1,1.21,172,-0.67,0.4471,17.2,-0.1,0.01,10.16,0.1045,0.0109,2,-0.11,0.0111,0.5,-1.61,2.6065,-0.631091,0.398275,-0.620698,0.385266,0
46,026-29455,1(2006-07),7-Dec-06,5:53,17:30,697,1,M,pre,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,182,9.33,87.0736,18.2,0.9,0.81,10.48,0.4206,0.1769,3,0.89,0.8003,2.5,0.39,0.1486,0.174583,0.030479,1.524927,2.325403,1
47,026-29455,2(2007-08),5-Mar-08,6:36,7:50,74,1,M,L,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,180,7.33,53.7483,18,0.7,0.49,8.71,-1.3452,1.8097,2,-0.11,0.0111,0,-2.11,4.4709,-1.78325,3.179982,-1.342383,1.801993,1
48,026-29455,3(2008-09),9-Mar-09,6:37,7:26,49,1,M,I,A1Y,4,0.53,0.050723,0.002573,53,5.1,26.01,208,35.33,1248.3025,20.8,3.5,12.25,9.58,-0.4778,0.2283,1.5,-0.61,0.3665,1.5,-0.61,0.3776,-3.095376,9.581355,0.315843,0.099757,1
49,026-29456,1(2006-07),1-Dec-06,5:52,17:00,668,1,M,pre,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,166,-6.67,44.4712,16.6,-0.7,0.49,10.39,0.3275,0.1073,2.5,0.39,0.1557,3,0.89,0.7842,0.81645,0.66659,0.793695,0.629952,1
50,026-29456,2(2007-08),12-Jan-08,6:11,8:43,152,1,M,L,A1Y,3,0.48,0.000723,0.000001,48,0.1,0.01,161,-11.67,136.158,16.1,-1.2,1.44,10.68,0.6243,0.3898,1.5,-0.61,0.3665,2,-0.11,0.0131,0.550966,0.303564,-0.638913,0.40821,0
52,026-29456,3(2008-09),12-Feb-09,6:29,9:31,182,1,M,I,A1Y,4,0.46,-0.019277,0.000372,46,-1.9,3.61,177,4.33,18.7604,17.7,0.4,0.16,10.72,0.66,0.4356,2.5,0.39,0.1557,3.5,1.39,1.9197,1.00966,1.019413,1.184118,1.402135,1
54,026-29461,2(2007-08),15-Dec-07,5:55,5:54,-1,0,F,pre,A1Y,3,0.48,0.000723,0.000001,48,0.1,0.01,166,-6.67,44.4712,16.6,-0.7,0.49,9.6,-0.4625,0.2139,2,-0.11,0.0111,1,-1.11,1.242,-0.289504,0.083813,-0.944811,0.892668,0
55,026-29470,2(2007-08),4-Jan-08,6:06,6:24,18,1,M,B,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,160,-12.67,160.4953,16,-1.3,1.69,8.85,-1.2137,1.4731,2,-0.11,0.0111,2,-0.11,0.0131,-0.262522,0.068918,-0.911233,0.830345,1
56,026-29475,1(2006-07),27-Jan-07,6:20,8:30,130,1,M,I,A1Y,3,0.46,-0.019277,0.000372,46,-1.9,3.61,177,4.33,18.7604,17.7,0.4,0.16,9.51,-0.5491,0.3015,2,-0.11,0.0111,1,-1.11,1.242,-0.432295,0.186879,-0.966012,0.93318,1
57,026-29475,3(2008-09),18-Dec-08,5:57,7:12,75,1,M,pre,A1Y,5,0.43,-0.049277,0.002428,43,-4.9,24.01,147,-25.67,658.8809,14.7,-2.6,6.76,9.68,-0.3779,0.1428,2,-0.11,0.0111,2,-0.11,0.0131,1.817768,3.304282,-1.52488,2.32526,1
58,026-29476,3(2008-09),16-Dec-08,5:56,10:27,271,1,M,pre,A1Y,4,0.45,-0.029277,0.000857,45,-2.9,8.41,180,7.33,53.7483,18,0.7,0.49,10.33,0.2743,0.0752,2,-0.11,0.0111,1,-1.11,1.242,-0.002359,0.000006,-0.616677,0.380291,1
59,026-29476,4(2009-10),26-Mar-10,5:41,7:51,130,1,M,L,A1Y,5,0.48,0.000723,0.000001,48,0.1,0.01,183,10.33,106.7363,18.3,1,1,10.55,0.4943,0.2443,2,-0.11,0.0111,2,-0.11,0.0131,-0.307896,0.0948,0.334544,0.11192,0
61,026-29480,1(2006-07),29-Nov-06,4:51,16:45,714,0,F,pre,A1Y,3,0.42,-0.059277,0.003514,42,-5.9,34.81,154,-18.67,348.5194,15.4,-1.9,3.61,10.84,0.7849,0.6161,2,-0.11,0.0111,3,0.89,0.7842,2.519087,6.3458,-0.499359,0.24936,1
62,026-29480,2(2007-08),12-Jan-08,6:11,7:45,94,0,F,B,A1Y,4,0.43,-0.049277,0.002428,43,-4.9,24.01,149,-23.67,560.2062,14.9,-2.4,5.76,9.77,-0.2902,0.0842,3,0.89,0.8003,1,-1.11,1.242,1.802474,3.248913,-0.813803,0.662275,0
63,026-29481,1(2006-07),7-Dec-06,5:53,17:30,697,0,F,pre,A1Y,2,0.5,0.020723,0.000429,50,2.1,4.41,187,14.33,205.3869,18.7,1.4,1.96,9,-1.0575,1.1182,2.5,0.39,0.1557,1.5,-0.61,0.3776,-1.54618,2.390672,0.227261,0.051647,0
64,026-29488,1(2006-07),29-Nov-06,4:51,16:45,714,1,M,pre,A1Y,3,0.495,0.015723,0.000247,49.5,1.6,2.56,166,-6.67,44.4712,16.6,-0.7,0.49,11.98,1.9178,3.6779,2.5,0.39,0.1557,3,0.89,0.7842,1.252227,1.568072,1.739838,3.027037,1
65,026-29491,1(2006-07),18-Jan-07,6:15,8:55,160,0,F,B,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,166,-6.67,44.4712,16.6,-0.7,0.49,10.95,0.8888,0.79,3,0.89,0.8003,2.5,0.39,0.1486,1.086556,1.180605,1.375685,1.892508,1
67,026-33190,2(2007-08),8-Jan-08,6:08,8:09,121,1,M,L,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,174,1.33,1.7724,17.4,0.1,0.01,9.98,-0.0785,0.0062,2,-0.11,0.0111,1,-1.11,1.242,-0.654888,0.428878,-0.452947,0.205161,0
69,026-33190,3(2008-09),11-Dec-08,5:54,8:32,158,1,M,pre,A1Y,4,0.46,-0.019277,0.000372,46,-1.9,3.61,179,6.33,40.0857,17.9,0.6,0.36,10.04,-0.0184,0.0003,1,-1.11,1.222,2,-0.11,0.0131,-0.312428,0.097611,-1.284582,1.65015,1
70,026-33190,4(2009-10),25-Dec-09,5:00,6:40,100,1,M,pre,A1Y,5,0.45,-0.029277,0.000857,45,-2.9,8.41,185,12.33,152.0616,18.5,1.2,1.44,10.48,0.4206,0.1769,1.5,-0.61,0.3665,4,1.89,3.5553,0.561108,0.314842,0.306446,0.093909,1
71,026-33191,1(2006-07),17-Jan-07,6:14,8:40,146,1,M,I,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,169,-3.67,13.4592,16.9,-0.4,0.16,10.68,0.6243,0.3898,1.5,-0.61,0.3665,1.5,-0.61,0.3776,0.054352,0.002954,-0.660442,0.436184,0
72,026-33360,4(2009-10),4-Mar-10,5:36,10:48,312,0,F,N,A1Y,5,0.47,-0.009277,0.000086,47,-0.9,0.81,165,-7.67,58.8086,16.5,-0.8,0.64,9.79,-0.2721,0.074,1,-1.11,1.222,3.5,1.39,1.9197,0.436136,0.190214,-0.989199,0.978514,1
73,026-33390,1(2006-07),29-Nov-06,4:51,16:45,714,1,M,pre,A1Y,2,0.5,0.020723,0.000429,50,2.1,4.41,181,8.33,69.411,18.1,0.8,0.64,10.59,0.5254,0.2761,2.5,0.39,0.1557,3,0.89,0.7842,-0.128347,0.016473,1.478623,2.186326,0
74,026-33390,2(2007-08),13-Mar-08,6:38,6:29,-9,1,M,I,A1Y,3,0.475,-0.004277,0.000018,47.5,-0.4,0.16,177,4.33,18.7604,17.7,0.4,0.16,9.41,-0.6461,0.4174,1.5,-0.61,0.3665,3,0.89,0.7842,-0.336336,0.113122,-0.518042,0.268367,1
75,026-33390,4(2009-10),6-May-10,5:50,6:05,15,1,M,post,A1Y,5,0.44,-0.039277,0.001543,44,-3.9,15.21,147,-25.67,658.8809,14.7,-2.6,6.76,10.85,0.7902,0.6244,2,-0.11,0.0111,1.5,-0.61,0.3776,2.010592,4.042479,-1.051219,1.105061,0
77,026-33391,1(2006-07),17-Feb-07,6:30,8:50,140,1,M,I,A1Y,2,0.455,-0.024277,0.000589,45.5,-2.4,5.76,176,3.33,11.0977,17.6,0.3,0.09,10.36,0.297,0.0882,2.5,0.39,0.1557,1,-1.11,1.242,0.251298,0.063151,-0.120083,0.01442,1
78,026-33548,1(2006-07),12-Jan-07,6:11,11:45,334,1,M,B,A1Y,2,0.52,0.040723,0.001658,52,4.1,16.81,180,7.33,53.7483,18,0.7,0.49,10.66,0.5976,0.3572,2,-0.11,0.0111,1.5,-0.61,0.3776,-1.031964,1.064949,0.579724,0.33608,1
79,026-33548,2(2007-08),17-Feb-08,6:30,6:51,21,1,M,L,A1Y,3,0.485,0.005723,0.000033,48.5,0.6,0.36,172,-0.67,0.4471,17.2,-0.1,0.01,10.31,0.2526,0.0638,2,-0.11,0.0111,3,0.89,0.7842,0.262759,0.069042,0.437532,0.191434,1
80,026-33551,3(2008-09),6-Mar-09,6:36,11:08,272,1,M,N,A1Y,4,0.47,-0.009277,0.000086,47,-0.9,0.81,190,17.33,300.3748,19,1.7,2.89,9.79,-0.266,0.0708,2,-0.11,0.0111,0,-2.11,4.4709,-1.355107,1.836316,-0.824003,0.67898,0
81,026-33568,2(2007-08),6-Feb-08,6:25,7:41,76,0,F,N,A1Y,2,0.47,-0.009277,0.000086,47,-0.9,0.81,158,-14.67,215.17,15.8,-1.5,2.25,8.13,-1.9263,3.7106,2,-0.11,0.0111,3.5,1.39,1.9197,0.320032,0.10242,-0.91212,0.831962,1
82,026-33670,4(2009-10),9-Mar-10,5:37,8:44,187,1,M,I,A1Y,5,0.47,-0.009277,0.000086,47,-0.9,0.81,182,9.33,87.0736,18.2,0.9,0.81,9.6,-0.4639,0.2152,1.5,-0.61,0.3665,2,-0.11,0.0131,-0.6713,0.450644,-0.790528,0.624935,0
83,026-33749,1(2006-07),20-Nov-06,4:52,8:40,228,1,M,pre,1Y,1,0.47,-0.009277,0.000086,47,-0.9,0.81,178,5.33,28.423,17.8,0.5,0.25,10.01,-0.0486,0.0024,2.5,0.39,0.1557,2.5,0.39,0.1486,0.163599,0.026765,0.565644,0.319953,0
84,026-33750,2(2007-08),2-Feb-08,6:23,10:33,250,1,M,I,A1Y,2,0.495,0.015723,0.000247,49.5,1.6,2.56,182,9.33,87.0736,18.2,0.9,0.81,9.27,-0.788,0.621,3,0.89,0.8003,3,0.89,0.7842,-0.5088,0.258877,1.328508,1.764933,0
86,026-33750,3(2008-09),28-Feb-09,6:34,9:18,164,1,M,L,A1Y,3,0.475,-0.004277,0.000018,47.5,-0.4,0.16,164,-8.67,75.1459,16.4,-0.9,0.81,9.55,-0.5063,0.2564,2,-0.11,0.0111,1,-1.11,1.242,-0.127329,0.016213,-1.072246,1.149713,1
88,026-33750,4(2009-10),6-Apr-10,5:43,6:10,27,1,M,L,A1Y,4,0.465,-0.014277,0.000204,46.5,-1.4,1.96,160,-12.67,160.4953,16,-1.3,1.69,9.17,-0.8867,0.7862,2,-0.11,0.0111,0,-2.11,4.4709,-0.228354,0.052145,-1.886955,3.560598,1
91,026-33763,3(2008-09),9-Mar-09,6:37,7:55,78,1,M,L,A1Y,3,0.5,0.020723,0.000429,50,2.1,4.41,174,1.33,1.7724,17.4,0.1,0.01,9.81,-0.2538,0.0644,2,-0.11,0.0111,2,-0.11,0.0131,-0.630083,0.397005,-0.000466,0,0
92,026-33764,2(2007-08),2-Feb-08,6:23,9:24,181,0,F,I,A1Y,2,0.475,-0.004277,0.000018,47.5,-0.4,0.16,158,-14.67,215.17,15.8,-1.5,2.25,11.21,1.1528,1.329,3,0.89,0.8003,4,1.89,3.5553,2.089971,4.36798,1.883781,3.548631,1
93,026-33764,3(2008-09),31-Mar-09,5:42,5:49,7,0,F,L,A1Y,3,0.45,-0.029277,0.000857,45,-2.9,8.41,153,-19.67,386.8568,15.3,-2,4,11.64,1.5793,2.4941,1.5,-0.61,0.3665,1,-1.11,1.242,1.606661,2.58136,-1.139951,1.299489,1
96,026-33764,4(2009-10),29-Apr-10,5:48,10:43,295,0,F,post,A1Y,4,0.48,0.000723,0.000001,48,0.1,0.01,180,7.33,53.7483,18,0.7,0.49,10.64,0.5841,0.3412,2,-0.11,0.0111,2,-0.11,0.0131,-0.13599,0.018493,0.307533,0.094577,1
97,026-33815,1(2006-07),29-Nov-06,4:51,16:45,714,1,M,pre,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,176,3.33,11.0977,17.6,0.3,0.09,10.54,0.4837,0.234,2,-0.11,0.0111,2,-0.11,0.0131,-0.384122,0.14755,0.402643,0.162122,0
98,026-33852,1(2006-07),1-Dec-06,5:52,16:30,638,1,M,pre,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,167,-5.67,32.1339,16.7,-0.6,0.36,9.4,-0.6617,0.4379,2.5,0.39,0.1557,2.5,0.39,0.1486,-0.198908,0.039565,0.367634,0.135155,0
99,026-33855,3(2008-09),16-May-09,5:53,7:37,104,1,M,N,A1Y,3,0.48,0.000723,0.000001,48,0.1,0.01,176,3.33,11.0977,17.6,0.3,0.09,11.81,1.7474,3.0536,1,-1.11,1.222,1,-1.11,1.242,-0.053414,0.002853,-0.683124,0.466659,1
100,026-33900,3(2008-09),15-Dec-08,5:56,9:42,226,1,M,pre,A1Y,4,0.47,-0.009277,0.000086,47,-0.9,0.81,180,7.33,53.7483,18,0.7,0.49,10.98,0.9176,0.8421,2,-0.11,0.0111,3,0.89,0.7842,0.496686,0.246697,0.768307,0.590295,0
101,026-33901,1(2006-07),6-Dec-06,5:53,17:10,677,1,M,pre,1Y,1,0.5,0.020723,0.000429,50,2.1,4.41,189,16.33,266.7122,18.9,1.6,2.56,9.35,-0.7053,0.4975,2.5,0.39,0.1557,2.5,0.39,0.1486,-1.181477,1.395888,0.862707,0.744264,0
102,026-33901,2(2007-08),9-Jan-08,6:09,7:48,99,1,M,L,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,173,0.33,0.1098,17.3,0,0,9.41,-0.6461,0.4174,1.5,-0.61,0.3665,1,-1.11,1.242,-0.841666,0.708401,-1.389373,1.930358,1
103,026-33901,4(2009-10),20-Dec-09,4:58,7:18,140,1,M,pre,A1Y,4,0.45,-0.029277,0.000857,45,-2.9,8.41,160,-12.67,160.4953,16,-1.3,1.69,10.72,0.6643,0.4412,1,-1.11,1.222,4,1.89,3.5553,1.602682,2.56859,-0.68248,0.465779,0
104,026-33903,1(2006-07),1-Dec-06,5:52,17:00,668,0,F,pre,1Y,1,0.46,-0.019277,0.000372,46,-1.9,3.61,166,-6.67,44.4712,16.6,-0.7,0.49,10.85,0.7902,0.6244,2.5,0.39,0.1557,3,0.89,0.7842,1.403476,1.969744,0.779722,0.607967,0
105,026-33905,3(2008-09),10-Jan-09,6:10,6:42,32,0,F,B,A1Y,4,0.45,-0.029277,0.000857,45,-2.9,8.41,155,-17.67,312.1821,15.5,-1.8,3.24,10.23,0.1748,0.0305,2.5,0.39,0.1557,4,1.89,3.5553,2.088493,4.361801,0.524144,0.274727,0
106,026-33905,4(2009-10),1-Mar-10,5:35,7:06,91,0,F,N,A1Y,5,0.48,0.000723,0.000001,48,0.1,0.01,177,4.33,18.7604,17.7,0.4,0.16,10.13,0.0734,0.0054,2,-0.11,0.0111,3,0.89,0.7842,0.057345,0.003288,0.408926,0.16722,1
107,026-33906,3(2008-09),15-Jan-09,6:13,10:54,281,1,M,B,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,183,10.33,106.7363,18.3,1,1,9.6,-0.4625,0.2139,2,-0.11,0.0111,1,-1.11,1.242,-1.222425,1.494322,-0.427262,0.182553,0
108,026-33907,1(2006-07),6-Dec-06,5:53,17:20,687,0,F,pre,1Y,1,0.42,-0.059277,0.003514,42,-5.9,34.81,148,-24.67,608.5435,14.8,-2.5,6.25,8.69,-1.3668,1.8682,1,-1.11,1.222,1.5,-0.61,0.3776,1.043687,1.089282,-3.347184,11.203642,1
109,026-33909,1(2006-07),7-Dec-06,5:53,17:30,697,1,M,pre,1Y,1,0.53,0.050723,0.002573,53,5.1,26.01,193,20.33,413.3628,19.3,2,4,9.1,-0.9585,0.9188,2,-0.11,0.0111,2,-0.11,0.0131,-2.346993,5.508376,0.461099,0.212613,1
110,026-33910,1(2006-07),29-Nov-06,4:51,16:45,714,0,F,pre,1Y,1,0.47,-0.009277,0.000086,47,-0.9,0.81,172,-0.67,0.4471,17.2,-0.1,0.01,9.6,-0.4625,0.2139,2.5,0.39,0.1557,2,-0.11,0.0131,0.092546,0.008565,0.015769,0.000249,1
111,026-33911,3(2008-09),19-Feb-09,6:31,10:17,226,1,M,L,A1Y,3,0.5,0.020723,0.000429,50,2.1,4.41,180,7.33,53.7483,18,0.7,0.49,9.85,-0.2132,0.0454,2,-0.11,0.0111,2.5,0.39,0.1486,-0.727834,0.529743,0.369118,0.136248,1
112,026-33911,4(2009-10),26-Jan-10,5:20,7:45,145,1,M,B,A1Y,4,0.49,0.010723,0.000115,49,1.1,1.21,172,-0.67,0.4471,17.2,-0.1,0.01,9.45,-0.6058,0.367,2,-0.11,0.0111,0,-2.11,4.4709,-1.09877,1.207296,-1.172962,1.375839,0
